,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PITTSBURGH REGIONAL TRANSIT (PRT),,,,,,,,,,315,449,320,292,292,292,,292,292
ALTOONA METRO TRANSIT (AMTRAN),,,,,,,,,,15,15,15,15,15,15,26,26,26
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),,,,,,,,,,_,_,_,_,_,_,_,_,_
Capital Area Transit (CAT),,,,,,,,,,26,26,26,26,26,26,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),,,,,,,,,,7,7,7,7,7,9,9,9,9
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),,,,,,,,,,_,_,_,_,_,_,_,_,_
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),,,,,,,,,,_,_,_,_,_,_,_,_,_
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,7,7,7,4,4,4,,,
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),,,,,,,,,,3,3,3,3,3,3,3,3,3
HAZLETON PUBLIC TRANSIT (HPT),,,,,,,,,,_,_,_,18,18,17,17,17,23
LEHIGH AND NORTHAMPTON TRANSPORTATION AUTHORITY (LANTA),,,,,,,,,,137,137,123,123,93,93,101,101,86
LUZERNE COUNTY TRANSPORTATION AUTHORITY (LCTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,,,,,_,_,_,_,_,_,_,_,_
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),,,,,,,,,,38,38,38,38,43,43,47,47,47
POTTSTOWN AREA RAPID TRANSIT (PART),,,,,,,,,,12,12,12,12,12,12,12,12,12
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,116,116,107,107,88,140,140,140,140
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,,92,92,92,92,92,57,62,62,62
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),,,,,,,,,,87,87,80,80,80,80,_,_,_
Williamsport River Valley Transit (RVT),,,,,,,,,,_,_,_,_,_,_,,,
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (,,,,,,,,,,3,3,3,3,2,2,2,2,_
BUTLER TRANSIT AUTHORITY (BTA),,,,,,,,,,7,7,7,14,14,14,14,14,14
Carbon County Community Transit (CCCT),,,,,,,,,,19,19,17,17,8,8,,,
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),,,,,,,,,,0,0,0,_,_,_,_,_,_
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,,,,,0,0,,,,,,,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY (BeST TRANSIT),,,,,,,,,,0,_,_,_,_,_,_,_,_
INDIANA COUNTY TRANSIT AUTHORITY (INDIGO),,,,,,,,,,0,0,0,_,_,_,_,_,_
MID COUNTY TRANSIT AUTHORITY D.B.A. TOWN AND COUNTR TRANSIT (TACT),,,,,,,,,,0,0,0,_,_,_,_,_,_
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),,,,,,,,,,0,0,0,_,_,_,_,_,_
BOROUGH OF MOUNT CARMEL (LATS),,,,,,,,,,2,2,2,2,2,2,2,2,2
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),,,,,,,,,,0,0,0,_,_,_,_,_,_
SCHUYLKILL TRANSPORTATION SYSTEM (STS),,,,,,,,,,7,_,_,_,_,_,_,_,_
VCTO (Venango County Transportation Office),,,,,,,,,,0,,,,,,,,
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),,,,,,,,,,0,_,_,_,_,_,_,_,_
RIVER VALLEY TRANSIT AUTHORITY (RVTA),,,,,,,,,,,,,,,,_,_,_
SUSQUEHANNA REGIONAL TRANSPORTATION AUTHORITY (SRTA) D.B.A. RABBITTRANSIT,,,,,,,,,,,,,,,,30,30,30
